NEW_BUS_ID,RECONCILIATION_NUM,Percentage,Accum_Percentage,Client_Num
34744,12,0,0.833,602
36509,12,0,0.834,603
34641,12,0,0.834,604
33763,12,0,0.834,605
9913,12,0,0.834,606
38418,12,0,0.835,607
36213,12,0,0.835,608
14557,12,0,0.835,609
36777,12,0,0.835,610
34783,12,0,0.835,611
20044,12,0,0.836,612
37467,11,0,0.836,613
7413,11,0,0.836,614
9113,11,0,0.836,615
38072,11,0,0.836,616
15678,11,0,0.837,617
14677,11,0,0.837,618
7193,11,0,0.837,619
22945,11,0,0.837,620
19697,11,0,0.837,621
21955,11,0,0.837,622
35713,11,0,0.838,623
2793,11,0,0.838,624
11275,11,0,0.838,625
18116,11,0,0.838,626
27452,11,0,0.838,627
26987,11,0,0.839,628
35650,11,0,0.839,629
31110,11,0,0.839,630
34579,11,0,0.839,631
16662,11,0,0.839,632
35696,11,0,0.84,633
13635,11,0,0.84,634
13816,11,0,0.84,635
5953,11,0,0.84,636
31595,11,0,0.84,637
10344,11,0,0.841,638
25465,11,0,0.841,639
33882,11,0,0.841,640
38572,11,0,0.841,641
31522,11,0,0.841,642
33452,11,0,0.842,643
32292,11,0,0.842,644
6633,11,0,0.842,645
33896,11,0,0.842,646
28431,11,0,0.842,647
16275,11,0,0.843,648
6573,11,0,0.843,649
2162,11,0,0.843,650
32269,11,0,0.843,651
1040,10,0,0.843,652
36526,10,0,0.843,653
31236,10,0,0.844,654
32490,10,0,0.844,655
38035,10,0,0.844,656
37208,10,0,0.844,657
36478,10,0,0.844,658
20853,10,0,0.845,659
31328,10,0,0.845,660
20789,10,0,0.845,661
14738,10,0,0.845,662
14702,10,0,0.845,663
16915,10,0,0.845,664
30231,10,0,0.846,665
10351,10,0,0.846,666
16590,10,0,0.846,667
16594,10,0,0.846,668
34272,10,0,0.846,669
16603,10,0,0.846,670
38604,10,0,0.847,671
35585,10,0,0.847,672
34499,10,0,0.847,673
26728,10,0,0.847,674
18017,10,0,0.847,675
26408,10,0,0.848,676
10537,10,0,0.848,677
34670,10,0,0.848,678
34681,10,0,0.848,679
16716,10,0,0.848,680
18935,10,0,0.848,681
10257,10,0,0.849,682
34776,10,0,0.849,683
10013,10,0,0.849,684
34785,10,0,0.849,685
25587,10,0,0.849,686
35427,10,0,0.849,687
25325,10,0,0.85,688
16762,10,0,0.85,689
9273,10,0,0.85,690
25165,10,0,0.85,691
16770,10,0,0.85,692
8413,10,0,0.851,693
8133,10,0,0.851,694
35692,10,0,0.851,695
34665,10,0,0.851,696
25185,10,0,0.851,697
33793,10,0,0.851,698
16542,10,0,0.852,699
35306,10,0,0.852,700
19645,10,0,0.852,701
14546,10,0,0.852,702
19576,10,0,0.852,703
35854,10,0,0.852,704
35808,10,0,0.853,705
35835,10,0,0.853,706
37592,9,0,0.853,707
33857,9,0,0.853,708
15751,9,0,0.853,709
34788,9,0,0.853,710
29150,9,0,0.854,711
35436,9,0,0.854,712
19868,9,0,0.854,713
25849,9,0,0.854,714
25226,9,0,0.854,715
17695,9,0,0.854,716
9613,9,0,0.855,717
32030,9,0,0.855,718
37949,9,0,0.855,719
14615,9,0,0.855,720
9393,9,0,0.855,721
14581,9,0,0.855,722
7953,9,0,0.856,723
35324,9,0,0.856,724
20361,9,0,0.856,725
35282,9,0,0.856,726
24324,9,0,0.856,727
24484,9,0,0.856,728
36859,9,0,0.856,729
35252,9,0,0.857,730
24644,9,0,0.857,731
23465,9,0,0.857,732
24906,9,0,0.857,733
37496,9,0,0.857,734
16768,9,0,0.857,735
9213,9,0,0.858,736
38161,9,0,0.858,737
34743,9,0,0.858,738
33924,9,0,0.858,739
34740,9,0,0.858,740
37330,9,0,0.858,741
2873,9,0,0.859,742
13535,9,0,0.859,743
3713,9,0,0.859,744
38526,9,0,0.859,745
38492,9,0,0.859,746
34248,9,0,0.859,747
14531,9,0,0.859,748
37326,9,0,0.86,749
28251,9,0,0.86,750
27130,9,0,0.86,751
28371,9,0,0.86,752
5633,9,0,0.86,753
36610,9,0,0.86,754
11355,9,0,0.861,755
20140,9,0,0.861,756
22635,9,0,0.861,757
26167,9,0,0.861,758
1292,9,0,0.861,759
33734,9,0,0.861,760
31318,9,0,0.862,761
32329,9,0,0.862,762
5993,9,0,0.862,763
20076,9,0,0.862,764
19880,8,0,0.862,765
15769,8,0,0.862,766
21176,8,0,0.862,767
21061,8,0,0.863,768
16535,8,0,0.863,769
31494,8,0,0.863,770
18716,8,0,0.863,771
21319,8,0,0.863,772
16555,8,0,0.863,773
31463,8,0,0.863,774
31459,8,0,0.864,775
20180,8,0,0.864,776
16600,8,0,0.864,777
23324,8,0,0.864,778
38177,8,0,0.864,779
31420,8,0,0.864,780
22968,8,0,0.864,781
27330,8,0,0.865,782
22761,8,0,0.865,783
16654,8,0,0.865,784
16765,8,0,0.865,785
16375,8,0,0.865,786
20645,8,0,0.865,787
26587,8,0,0.865,788
16667,8,0,0.866,789
31436,8,0,0.866,790
20497,8,0,0.866,791
34163,8,0,0.866,792
6834,8,0,0.866,793
35127,8,0,0.866,794
8513,8,0,0.866,795
38037,8,0,0.867,796
35277,8,0,0.867,797
37501,8,0,0.867,798
37582,8,0,0.867,799
38509,8,0,0.867,800
2094,8,0,0.867,801
7513,8,0,0.867,802
15151,8,0,0.868,803
35806,8,0,0.868,804
32315,8,0,0.868,805
38499,8,0,0.868,806
9574,8,0,0.868,807
6473,8,0,0.868,808
14684,8,0,0.868,809
3433,8,0,0.869,810
32340,8,0,0.869,811
6333,8,0,0.869,812
37933,8,0,0.869,813
35644,8,0,0.869,814
14940,8,0,0.869,815
37958,8,0,0.869,816
32473,8,0,0.869,817
32770,8,0,0.87,818
14725,8,0,0.87,819
35070,8,0,0.87,820
1473,8,0,0.87,821
34809,8,0,0.87,822
14555,8,0,0.87,823
12076,8,0,0.87,824
1058,8,0,0.871,825
37120,8,0,0.871,826
36601,8,0,0.871,827
34532,8,0,0.871,828
34643,8,0,0.871,829
33914,8,0,0.871,830
36376,8,0,0.871,831
10436,8,0,0.872,832
9733,8,0,0.872,833
33874,8,0,0.872,834
10260,8,0,0.872,835
13616,7,0,0.872,836
33852,7,0,0.872,837
26990,7,0,0.872,838
14697,7,0,0.873,839
25306,7,0,0.873,840
35120,7,0,0.873,841
34520,7,0,0.873,842
37886,7,0,0.873,843
6413,7,0,0.873,844
16592,7,0,0.873,845
38356,7,0,0.873,846
6053,7,0,0.874,847
22661,7,0,0.874,848
9673,7,0,0.874,849
14730,7,0,0.874,850
34447,7,0,0.874,851
16563,7,0,0.874,852
35291,7,0,0.874,853
34648,7,0,0.874,854
35531,7,0,0.875,855
6893,7,0,0.875,856
34846,7,0,0.875,857
33710,7,0,0.875,858
14552,7,0,0.875,859
7353,7,0,0.875,860
7453,7,0,0.875,861
8333,7,0,0.875,862
16721,7,0,0.875,863
38295,7,0,0.876,864
29952,7,0,0.876,865
10264,7,0,0.876,866
22315,7,0,0.876,867
31496,7,0,0.876,868
19741,7,0,0.876,869
21178,7,0,0.876,870
35787,7,0,0.876,871
31546,7,0,0.877,872
19355,7,0,0.877,873
19495,7,0,0.877,874
2093,7,0,0.877,875
19604,7,0,0.877,876
32300,7,0,0.877,877
38188,7,0,0.877,878
15731,7,0,0.877,879
37423,7,0,0.878,880
31370,7,0,0.878,881
15607,7,0,0.878,882
31455,7,0,0.878,883
18315,7,0,0.878,884
36222,7,0,0.878,885
37263,7,0,0.878,886
38164,7,0,0.878,887
32324,7,0,0.879,888
38321,7,0,0.879,889
32470,7,0,0.879,890
37678,7,0,0.879,891
35697,7,0,0.879,892
36618,7,0,0.879,893
36832,7,0,0.879,894
14760,7,0,0.879,895
15838,7,0,0.88,896
30790,7,0,0.88,897
4253,7,0,0.88,898
16637,6,0,0.88,899
16608,6,0,0.88,900
16606,6,0,0.88,901
10335,6,0,0.88,902
19934,6,0,0.88,903
20531,6,0,0.88,904
37314,6,0,0.881,905
10296,6,0,0.881,906
37376,6,0,0.881,907
10272,6,0,0.881,908
34677,6,0,0.881,909
26427,6,0,0.881,910
38095,6,0,0.881,911
11955,6,0,0.881,912
11935,6,0,0.881,913
37187,6,0,0.882,914
34611,6,0,0.882,915
16658,6,0,0.882,916
34551,6,0,0.882,917
36718,6,0,0.882,918
20961,6,0,0.882,919
34502,6,0,0.882,920
19976,6,0,0.882,921
20837,6,0,0.882,922
20056,6,0,0.882,923
16647,6,0,0.883,924
5193,6,0,0.883,925
25808,6,0,0.883,926
7593,6,0,0.883,927
5553,6,0,0.883,928
35467,6,0,0.883,929
37856,6,0,0.883,930
35455,6,0,0.883,931
4593,6,0,0.883,932
35601,6,0,0.884,933
35691,6,0,0.884,934
22901,6,0,0.884,935
17535,6,0,0.884,936
21358,6,0,0.884,937
3324,6,0,0.884,938
37641,6,0,0.884,939
7253,6,0,0.884,940
2273,6,0,0.884,941
1937,6,0,0.884,942
36244,6,0,0.885,943
21071,6,0,0.885,944
37574,6,0,0.885,945
35191,6,0,0.885,946
1434,6,0,0.885,947
36048,6,0,0.885,948
9193,6,0,0.885,949
34827,6,0,0.885,950
19698,6,0,0.885,951
21001,6,0,0.886,952
34803,6,0,0.886,953
16753,6,0,0.886,954
9713,6,0,0.886,955
36231,6,0,0.886,956
9753,6,0,0.886,957
